institute,driving_model,experiment,ensemble,rcm_name
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6
CLMcom,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,CCLM4-8-17
KNMI,ICHEC-EC-EARTH,historical,r1i1p1,RACMO22E
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5
CLMcom-ETH,ICHEC-EC-EARTH,historical,r12i1p1,COSMO-crCLIM-v1-1
MOHC,ICHEC-EC-EARTH,historical,r12i1p1,HadREM3-GA7-05
CNRM,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,ALADIN63
IPSL,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,WRF381P
